"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"988","Alex Steeves","TOR","C","24","1999-12-10","Bedford","NH","USA","USA","72","196","-","-","-","-","-"
"455","Alex Tuch","BUF","R","27","1996-05-10","Syracuse","NY","USA","USA","76","219","2014","MIN","1","18","18"
"907","Alex Turcotte","L.A","C","23","2001-02-26","Elk Grove","IL","USA","USA","71","185","2019","L.A","1","5","5"
"922","Alex Vlasic","CHI","D","22","2001-06-05","Wilmette","IL","USA","USA","78","199","2019","CHI","2","12","43"
"420","Alex Wennberg","SEA","C","29","1994-09-22","Stockholm","","SWE","SWE","74","190","2013","CBJ","1","14","14"
"836","Alexander Alexeyev","WSH","D","24","1999-11-15","St. Petersburg","","RUS","RUS","76","213","2018","WSH","1","31","31"
"981","Alexander Barabanov","S.J","L","29","1994-06-17","St. Petersburg","","RUS","RUS","70","195","-","-","-","-","-"
"27","Alexander Edler","L.A","D","37","1986-04-21","Ostersund","","SWE","SWE","76","210","2004","VAN","3","26","91"
"972","Alexander Holtz","N.J","R","22","2002-01-23","Stockholm","","SWE","SWE","72","195","2020","N.J","1","7","7"
"348","Alexander Kerfoot","TOR","C","29","1994-08-11","Vancouver","BC","CAN","CAN","71","186","2012","N.J","5","29","150"
"23","Alexander Radulov","DAL","R","37","1986-07-05","Nizhny Tagil","","RUS","RUS","73","200","2004","NSH","1","15","15"
"874","Alexander Romanov","MTL","D","24","2000-01-06","Moscow","","RUS","RUS","73","215","2018","MTL","2","7","38"
"809","Alexander True","SEA","C","26","1997-07-17","Kobenhavn","","DNK","DNK","77","200","-","-","-","-","-"
"584","Alexandre Carrier","NSH","D","27","1996-10-08","Quebec City","QC","CAN","CAN","71","174","2015","NSH","4","24","115"
"777","Alexandre Texier","CBJ","C","24","1999-09-13","St. Martin D'heres","","FRA","FRA","73","186","2017","CBJ","2","14","45"
"800","Alexei Toropchenko","STL","R","24","1999-06-25","Moscow","","RUS","RUS","78","222","2017","STL","4","20","113"
"965","Alexis Lafrenière","NYR","L","22","2001-10-11","St-Eustache","QC","CAN","CAN","73","195","2020","NYR","1","1","1"
"942","Aliaksei Protas","WSH","C","23","2001-01-06","VITEBSK","","BLR","BLR","78","225","2019","WSH","3","29","91"
"493","Anders Bjork","BUF","L","27","1996-08-05","Mequon","WI","USA","USA","72","190","2014","BOS","5","26","146"
"167","Anders Lee","NYI","C, L","33","1990-07-03","Edina","MN","USA","USA","75","235","2009","NYI","6","1","152"
"388","Andre Burakovsky","COL","L","29","1995-02-09","Klagenfurt","","AUT","SWE","75","209","2013","WSH","1","23","23"
"334","Andreas Athanasiou","L.A","C","29","1994-08-06","London","ON","CAN","CAN","74","190","2012","DET","4","19","110"
"364","Andreas Johnsson","N.J","L","29","1994-11-21","Gävle","","SWE","SWE","70","195","2013","TOR","7","21","202"
"838","Andrei Svechnikov","CAR","R","23","2000-03-26","Barnual","","RUS","RUS","74","195","2018","CAR","1","2","2"
"26","Andrej Sekera","DAL","D","37","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"354","Andrej Sustr","ANA, T.B","D","33","1990-11-29","Plzen","","CZE","CZE","79","217","-","-","-","-","-"
"172","Andrew Agozzino","OTT","L","33","1991-01-03","Kleinburg","ON","CAN","CAN","70","187","-","-","-","-","-"
"34","Andrew Cogliano","COL, S.J","C","36","1987-06-14","Toronto","ON","CAN","CAN","70","179","2005","EDM","1","25","25"
"385","Andrew Copp","NYR, WPG","C","29","1994-07-08","Ann Arbor","MI","USA","USA","73","199","2013","WPG","4","13","104"
"21","Andrew Ladd","ARI","L","38","1985-12-12","Maple Ridge","BC","CAN","CAN","75","205","2004","CAR","1","4","4"
"507","Andrew Mangiapane","CGY","L","27","1996-04-04","Toronto","ON","CAN","CAN","70","184","2015","CGY","6","15","166"
"648","Andrew Peeke","CBJ","D","26","1998-03-17","Parkland","FL","USA","USA","75","210","2016","CBJ","2","4","34"
"607","Andrew Poturalski","CAR","C","30","1994-01-14","Williamsville","NY","USA","USA","70","183","-","-","-","-","-"
"242","Andy Andreoff","NYI","C","32","1991-05-17","Pickering","ON","CAN","CAN","73","208","2011","L.A","3","19","80"
"44","Andy Greene","NYI","D","41","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"492","Anthony Angello","PIT","R","28","1996-03-06","Albany","NY","USA","USA","77","210","2014","PIT","5","25","145"
"549","Anthony Beauvillier","NYI","L","26","1997-06-08","Sorel-Tracy","QC","CAN","CAN","71","180","2015","NYI","1","28","28"
"572","Anthony Cirelli","T.B","C","26","1997-07-15","Etobicoke","ON","CAN","CAN","72","189","2015","T.B","3","11","72"
"379","Anthony Duclair","FLA","L","28","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","197","2013","NYR","3","19","80"
"678","Anthony Greco","NYR","R","30","1993-09-30","Queens","NY","USA","USA","70","179","-","-","-","-","-"
"424","Anthony Mantha","WSH","R","29","1994-09-16","Longueuil","QC","CAN","CAN","77","234","2013","DET","1","20","20"
"125","Antoine Roussel","ARI","L","34","1989-11-21","Roubaix","","FRA","FRA","71","200","-","-","-","-","-"
"361","Anton Blidh","BOS","L","29","1995-03-14","Molnlycke","","SWE","SWE","73","197","2013","BOS","6","29","180"
"968","Anton Lundell","FLA","C","22","2001-10-03","Espoo","","FIN","FIN","73","185","2020","FLA","1","12","12"
"42","Anton Stralman","ARI","D","37","1986-08-01","Tibro","","SWE","SWE","71","193","2005","TOR","7","22","216"
"31","Anze Kopitar","L.A","C","36","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"984","Artem Zub","OTT","D","28","1995-10-03","Khabarovsk","","RUS","RUS","74","200","-","-","-","-","-"
"915","Artemi Kniazev","S.J","D","23","2001-01-04","Kazan","","RUS","RUS","71","178","2019","S.J","2","17","48"
"575","Artemi Panarin","NYR","L","32","1991-10-30","Korkino","","RUS","RUS","72","173","-","-","-","-","-"
"921","Arthur Kaliyev","L.A","R","22","2001-06-26","New York City","","USA","USA","74","210","2019","L.A","2","2","33"
"939","Arttu Ruotsalainen","BUF","C","26","1997-10-29","Oulu","","FIN","FIN","68","187","-","-","-","-","-"
"403","Artturi Lehkonen","COL, MTL","L","28","1995-07-04","Piikkio","","FIN","FIN","71","179","2013","MTL","2","25","55"
"571","Austin Czarnik","NYI, SEA","C","31","1992-12-12","Detroit","MI","USA","USA","69","170","-","-","-","-","-"
"480","Austin Poganski","WPG","R","28","1996-02-16","St. Cloud","MN","USA","USA","73","198","2014","STL","4","20","110"
"816","Austin Strand","L.A","D","27","1997-02-17","Calgary","AB","CAN","","75","215","-","-","-","-","-"
"195","Austin Watson","OTT","L","32","1992-01-13","Ann Arbor","MI","USA","USA","76","204","2010","NSH","1","18","18"
"616","Auston Matthews","TOR","C","26","1997-09-17","San Ramon","CA","USA","USA","75","208","2016","TOR","1","1","1"
"692","Axel Jonsson-Fjallby","WSH","L","26","1998-02-10","Stockholm","","SWE","SWE","73","189","2016","WSH","5","26","147"
"284","Barclay Goodrow","NYR","C","31","1993-02-26","Toronto","ON","CAN","CAN","74","204","-","-","-","-","-"
"848","Barrett Hayton","ARI","C","23","2000-06-09","Peterborough","ON","CAN","CAN","73","207","2018","ARI","1","5","5"
"641","Beck Malenstyn","WSH","L","26","1998-02-04","Delta","BC","CAN","CAN","75","200","2016","WSH","5","24","145"
"165","Ben Chiarot","FLA, MTL","D","32","1991-05-09","Hamilton","ON","CAN","CAN","75","232","2009","ATL","4","29","120"
"386","Ben Harpur","NSH","D","29","1995-01-12","Hamilton","ON","CAN","CAN","78","231","2013","OTT","4","17","108"
"347","Ben Hutton","VGK","D","30","1993-04-20","Brockville","ON","CAN","CAN","75","201","2012","VAN","5","26","147"
"799","Ben Jones","VGK","C","25","1999-02-26","Waterloo","ON","CAN","CAN","72","187","2017","VGK","7","3","189"
"951","Ben McCartney","ARI","L","22","2001-07-13","Portage la Prairie","MB","CAN","CAN","72","182","2020","ARI","7","18","204"
"1004","Ben Meyers","COL","C","25","1998-11-15","DELANO","MN","USA","USA","71","194","-","-","-","-","-"
"855","Benoit-Olivier Groulx","ANA","C","24","2000-02-06","Gatineau","QC","CAN","CAN","74","200","2018","ANA","2","23","54"
"240","Blake Coleman","CGY","C","32","1991-11-28","Plano","TX","USA","USA","71","199","2011","N.J","3","14","75"
"24","Blake Comeau","DAL","L","38","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"896","Blake Lizotte","L.A","C","26","1997-12-13","Lindstrom","MN","USA","USA","69","170","-","-","-","-","-"
"559","Blake Speers","ARI","C","27","1997-01-02","Sault Ste. Marie","ON","CAN","CAN","71","185","2015","N.J","3","6","67"
"22","Blake Wheeler","WPG","R","37","1986-08-31","Plymouth","MN","USA","USA","77","220","2004","PHX","1","5","5"
"416","Bo Horvat","VAN","C","28","1995-04-05","London","ON","CAN","CAN","72","215","2013","VAN","1","9","9"
"916","Bobby Brink","PHI","R","22","2001-07-08","Minnetonka","MN","USA","USA","68","166","2019","PHI","2","3","34"
"503","Bokondji Imama","ARI","L","27","1996-08-03","Montreal","QC","CAN","CAN","73","221","2015","T.B","6","29","180"
"249","Boone Jenner","CBJ","C","30","1993-06-15","Dorchester","ON","CAN","CAN","74","203","2011","CBJ","2","7","37"
"657","Boris Katchouk","CHI, T.B","L","25","1998-06-18","Waterloo","ON","CAN","CAN","74","206","2016","T.B","2","14","44"
"903","Bowen Byram","COL","D","22","2001-06-13","Cranbrook","BC","CAN","CAN","73","190","2019","COL","1","4","4"
"285","Brad Hunt","VAN","D","35","1988-08-24","Maple Ridge","BC","CAN","CAN","69","177","-","-","-","-","-"
"77","Brad Malone","EDM","C","34","1989-05-20","Miramichi","NB","CAN","CAN","74","217","2007","COL","4","14","105"
"46","Brad Marchand","BOS","L","35","1988-05-11","Halifax","NS","CAN","CAN","69","176","2006","BOS","3","8","71"
"15","Brad Richardson","CGY, VAN","R","39","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"959","Braden Schneider","NYR","D","22","2001-09-20","Prince Albert","SK","CAN","CAN","75","208","2020","NYR","1","19","19"
"296","Brady Skjei","CAR","D","29","1994-03-26","Lakeville","MN","USA","USA","75","210","2012","NYR","1","28","28"
"826","Brady Tkachuk","OTT","L","24","1999-09-16","Scottsdale","AZ","USA","USA","76","221","2018","OTT","1","4","4"
"429","Brandon Baddock","MTL","L","28","1995-03-29","Vermilion","AB","CAN","CAN","75","218","2014","N.J","6","11","161"
"954","Brandon Biro","BUF","L","26","1998-03-11","Sherwood Park","AB","CAN","CAN","71","170","-","-","-","-","-"
"537","Brandon Carlo","BOS","D","27","1996-11-26","Colorado Springs","CO","USA","USA","78","218","2015","BOS","2","7","37"
"687","Brandon Duhaime","MIN","R","26","1997-05-22","Coral Springs","FL","USA","USA","74","200","2016","MIN","4","15","106"
"693","Brandon Hagel","CHI, T.B","L","25","1998-08-27","Saskatoon","SK","CAN","CAN","74","179","2016","BUF","6","8","159"
"468","Brandon Montour","FLA","D","29","1994-04-11","Brantford","ON","CAN","CAN","72","194","2014","ANA","2","25","55"
"252","Brandon Saad","STL","L","31","1992-10-27","Pittsburgh","PA","USA","USA","73","215","2011","CHI","2","13","43"
"611","Brandon Tanev","SEA","L","32","1991-12-31","Toronto","ON","CAN","CAN","72","189","-","-","-","-","-"
"149","Brayden McNabb","VGK","D","33","1991-01-21","Davidson","SK","CAN","CAN","76","215","2009","BUF","3","5","66"
"888","Brayden Pachal","VGK","D","24","1999-08-23","Estevan","SK","CAN","CAN","74","203","-","-","-","-","-"
"473","Brayden Point","T.B","C","28","1996-03-13","Calgary","AB","CAN","CAN","71","180","2014","T.B","3","19","79"
"139","Brayden Schenn","STL","C","32","1991-08-22","Saskatoon","SK","CAN","CAN","73","199","2009","L.A","1","5","5"
"906","Brayden Tracey","ANA","L","22","2001-05-28","Calgary","AB","CAN","CAN","72","177","2019","ANA","1","29","29"
"214","Brendan Gallagher","MTL","R","31","1992-05-06","Edmonton","AB","CAN","CAN","69","186","2010","MTL","5","27","147"
"295","Brendan Gaunce","CBJ","C","29","1994-03-25","Sudbury","ON","CAN","CAN","75","219","2012","VAN","1","26","26"
"527","Brendan Guhle","ANA","D","26","1997-07-29","Edmonton","AB","CAN","CAN","74","197","2015","BUF","2","21","51"
"463","Brendan Lemieux","L.A","L","28","1996-03-15","Denver","CO","USA","USA","73","215","2014","BUF","2","1","31"
"450","Brendan Perlini","EDM","L","27","1996-04-27","Guildford","","GBR","GBR","75","211","2014","ARI","1","12","12"
"78","Brendan Smith","CAR","D","35","1989-02-08","Mimico","ON","CAN","CAN","74","200","2007","DET","1","27","27"
"171","Brenden Dillon","WPG","D","33","1990-11-13","New Westminster","BC","CAN","CAN","76","224","-","-","-","-","-"
"10","Brent Burns","S.J","D","39","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"203","Brett Connolly","CHI","R","31","1992-05-02","Campbell River","BC","CAN","CAN","75","198","2010","T.B","1","6","6"
"638","Brett Howden","VGK","C","25","1998-03-29","Calgary","AB","CAN","CAN","74","203","2016","T.B","1","27","27"
"336","Brett Kulak","EDM, MTL","D","30","1994-01-06","Edmonton","AB","CAN","CAN","73","197","2012","CGY","4","14","105"
"898","Brett Leason","WSH","R","24","1999-04-30","Calgary","AB","CAN","CAN","77","218","2019","WSH","2","25","56"
"672","Brett Murray","BUF","L","25","1998-07-20","Bolton","ON","CAN","CAN","77","228","2016","BUF","4","8","99"
"407","Brett Pesce","CAR","D","29","1994-11-15","Tarrytown","NY","USA","USA","75","206","2013","CAR","3","5","66"
"253","Brett Ritchie","CGY","R","30","1993-07-01","Orangeville","ON","CAN","CAN","76","215","2011","DAL","2","14","44"
"593","Brett Seney","TOR","L","28","1996-02-28","London","ON","CAN","CAN","69","156","2015","N.J","6","6","157"
"11","Brian Boyle","PIT","C","39","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"154","Brian Dumoulin","PIT","D","32","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"538","Brock Boeser","VAN","R","27","1997-02-25","Burnsville","MN","USA","USA","73","208","2015","VAN","1","23","23"
"331","Brock McGinn","PIT","L","30","1994-02-02","Fergus","ON","CAN","CAN","72","187","2012","CAR","2","17","47"
"189","Brock Nelson","NYI","C","32","1991-10-15","Warroad","MN","USA","USA","76","210","2010","NYI","1","30","30"
"210","Bryan Rust","PIT","R","31","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"950","Bryce Kindopp","ANA","R","24","1999-06-14","Lloydminster","AB","CAN","CAN","73","185","-","-","-","-","-"
"355","Buddy Robinson","ANA","R","32","1991-09-30","Bellmawr","NJ","USA","USA","78","232","-","-","-","-","-"
"779","C.J. Smith","CAR","L","29","1994-12-01","Des Moines","IA","USA","USA","71","191","-","-","-","-","-"
"53","Cal Clutterbuck","NYI","R","36","1987-11-18","Welland","ON","CAN","CAN","72","212","2006","MIN","3","9","72"
"728","Cal Foote","T.B","D","25","1998-12-13","Denver","CO","USA","USA","77","224","2017","T.B","1","14","14"
"729","Cale Fleury","SEA","D","25","1998-11-19","Carlyle","SK","CAN","CAN","73","204","2017","MTL","3","25","87"
"772","Cale Makar","COL","D","25","1998-10-30","Calgary","AB","CAN","CAN","71","187","2017","COL","1","4","4"
"544","Caleb Jones","CHI","D","26","1997-06-06","Arlington","TX","USA","USA","73","194","2015","EDM","4","26","117"
"861","Calen Addison","MIN","D","23","2000-04-11","Brandon","MB","CAN","CAN","71","173","2018","PIT","2","22","53"
"177","Calle Jarnkrok","CGY, SEA","C","32","1991-09-25","Gävle","","SWE","SWE","72","192","2010","DET","2","21","51"
"784","Calle Rosen","STL","D","30","1994-02-02","Vaxjo","","SWE","SWE","73","188","-","-","-","-","-"
"143","Calvin de Haan","CHI","D","32","1991-05-09","Carp","ON","CAN","CAN","73","195","2009","NYI","1","12","12"
"121","Cam Atkinson","PHI","R","34","1989-06-05","Riverside","CT","USA","USA","68","176","2008","CBJ","6","6","157"
"630","Cam Dineen","ARI","D","25","1998-06-19","Toms River","NJ","USA","USA","71","188","2016","ARI","3","7","68"
"193","Cam Fowler","ANA","D","32","1991-12-05","Windsor","ON","CAN","USA","74","215","2010","ANA","1","12","12"
"913","Cam York","PHI","D","23","2001-01-05","Anaheim","CA","USA","USA","71","175","2019","PHI","1","14","14"
"851","Cameron Hillis","MTL","C","23","2000-06-24","Oshawa","ON","CAN","CAN","69","175","2018","MTL","3","4","66"
"400","Carl Dahlstrom","TOR","D","29","1995-01-28","Stockholm","","SWE","SWE","76","231","2013","CHI","2","21","51"
"626","Carl Grundstrom","L.A","R","26","1997-12-01","Umea","","SWE","SWE","72","195","2016","TOR","2","27","57"
"90","Carl Hagelin","WSH","L","35","1988-08-23","Sodertalje","","SWE","SWE","72","183","2007","NYR","6","17","168"
"802","Carson Meyer","CBJ","R","26","1997-08-18","Powell","OH","USA","USA","71","184","-","-","-","-","-"
"371","Carson Soucy","SEA","D","29","1994-07-27","Viking","AB","CAN","CAN","77","208","2013","MIN","5","16","137"
"358","Carter Rowney","DET","C","34","1989-05-10","Grand Prairie","AB","CAN","CAN","74","208","-","-","-","-","-"
"380","Carter Verhaeghe","FLA","C","28","1995-08-14","Toronto","ON","CAN","CAN","74","180","2013","TOR","3","21","82"
"160","Casey Cizikas","NYI","C","33","1991-02-27","Toronto","ON","CAN","CAN","71","190","2009","NYI","4","1","92"
"699","Casey Fitzgerald","BUF","D","27","1997-02-25","North Reading","MA","USA","USA","71","188","2016","BUF","3","25","86"
"737","Casey Mittelstadt","BUF","C","25","1998-11-22","Edina","MN","USA","USA","73","195","2017","BUF","1","8","8"
"337","Cedric Paquette","MTL","C","30","1993-08-13","Gaspe","QC","CAN","CAN","72","205","2012","T.B","4","10","101"
"359","Chad Ruhwedel","PIT","D","33","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"317","Chandler Stephenson","VGK","C","29","1994-04-22","Saskatoon","SK","CAN","CAN","72","209","2012","WSH","3","16","77"
"184","Charlie Coyle","BOS","C","32","1992-03-02","E. Weymouth","MA","USA","USA","75","223","2010","S.J","1","28","28"
"622","Charlie McAvoy","BOS","D","26","1997-12-21","Long Beach","NY","USA","USA","73","209","2016","BOS","1","14","14"
"478","Chase De Leo","N.J","C","28","1995-10-25","La Mirada","CA","USA","USA","69","185","2014","WPG","4","9","99"
"562","Chase Pearson","DET","C","26","1997-08-23","Cornwall","ON","CAN","CAN","75","202","2015","DET","5","19","140"
"703","Chase Priskie","FLA","D","28","1996-03-19","Pembroke Pines","FL","USA","USA","72","185","2016","WSH","6","26","177"
"147","Chris Kreider","NYR","L","32","1991-04-30","Boxford","MA","USA","USA","75","230","2009","NYR","1","19","19"
"324","Chris Tierney","OTT","C","29","1994-07-01","Keswick","ON","CAN","CAN","73","191","2012","S.J","2","25","55"
"198","Chris Wagner","BOS","R","32","1991-05-27","Walpole","MA","USA","USA","72","192","2010","ANA","5","2","122"
"159","Chris Wideman","MTL","D","34","1990-01-07","St. Louis","MO","USA","USA","70","181","2009","OTT","4","9","100"
"470","Christian Dvorak","MTL","L","28","1996-02-02","Palos","IL","USA","USA","73","193","2014","ARI","2","28","58"
"531","Christian Fischer","ARI","R","26","1997-04-15","Chicago","IL","USA","USA","74","212","2015","ARI","2","2","32"
"589","Christian Jaros","N.J","D","27","1996-04-02","Kosice","","SVK","SVK","75","222","2015","OTT","5","18","139"
"583","Christian Wolanin","BUF, L.A","D","29","1995-03-17","Quebec City","QC","CAN","CAN","74","190","2015","OTT","4","16","107"
"175","Christopher Tanev","CGY","D","34","1989-12-20","Toronto","ON","CAN","CAN","74","193","-","-","-","-","-"
"489","CJ Suess","WPG","L","30","1994-03-17","St. Paul","MN","USA","USA","71","190","2014","WPG","5","9","129"
"487","Clark Bishop","OTT","C","27","1996-03-29","St. John's","NL","CAN","CAN","73","197","2014","CAR","5","7","127"
"55","Claude Giroux","FLA, PHI","C, R","36","1988-01-12","Hearst","ON","CAN","CAN","71","190","2006","PHI","1","22","22"
"631","Clayton Keller","ARI","C, R","25","1998-07-29","Chesterfield","MO","USA","USA","70","178","2016","ARI","1","7","7"
"304","Cody Ceci","EDM","D","30","1993-12-21","Ottawa","ON","CAN","CAN","74","210","2012","OTT","1","15","15"
"163","Cody Eakin","BUF","C","32","1991-05-24","Winnipeg","MB","CAN","CAN","72","196","2009","WSH","3","24","85"
"735","Cody Glass","NSH","C","24","1999-04-01","Winnipeg","MB","CAN","CAN","75","206","2017","VGK","1","6","6"
"911","Cole Caufield","MTL","R","23","2001-01-02","Mosinee","WI","USA","USA","67","174","2019","MTL","1","15","15"
"976","Cole Perfetti","WPG","C","22","2002-01-01","Whitby","ON","CAN","CAN","71","184","2020","WPG","1","10","10"
"885","Cole Reinhardt","OTT","L","24","2000-02-01","Calgary","AB","CAN","CAN","72","200","2020","OTT","6","26","181"
"941","Cole Schwindt","FLA","C","22","2001-04-25","Kitchener","ON","CAN","CAN","74","182","2019","FLA","3","19","81"
"998","Cole Sillinger","CBJ","C","20","2003-05-16","Columbus","OH","USA","USA","73","201","2021","CBJ","1","12","12"
"955","Cole Smith","NSH","L","28","1995-10-28","Brainerd","MN","USA","USA","75","195","-","-","-","-","-"
"220","Colin Blackwell","SEA, TOR","C","30","1993-03-28","Lawrence","MA","USA","USA","69","190","2011","S.J","7","13","193"
"281","Colin Miller","BUF","D","31","1992-10-29","Sault Ste. Marie","ON","CAN","CAN","73","200","2012","L.A","5","30","151"
"514","Colin White","OTT","C","27","1997-01-30","Boston","MA","USA","USA","73","194","2015","OTT","1","21","21"
"314","Colton Parayko","STL","D","30","1993-05-12","St. Albert","AB","CAN","CAN","78","228","2012","STL","3","25","86"
"79","Colton Sceviour","EDM","C","34","1989-04-20","Red Deer","AB","CAN","CAN","72","190","2007","DAL","4","21","112"
"328","Colton Sissons","NSH","C","30","1993-11-05","North Vancouver","BC","CAN","CAN","73","200","2012","NSH","2","20","50"
"582","Colton White","N.J","D","26","1997-05-03","London","ON","CAN","CAN","73","187","2015","N.J","4","6","97"
"346","Connor Brown","OTT","R","30","1994-01-14","Toronto","ON","CAN","CAN","72","181","2012","TOR","6","5","156"
"656","Connor Bunnaman","PHI","C","25","1998-04-16","Guelph","ON","CAN","CAN","73","207","2016","PHI","4","18","109"
"370","Connor Clifton","BOS","D","28","1995-04-28","Long Branch","NJ","USA","USA","71","190","2013","PHX","5","12","133"
"869","Connor Dewar","MIN","C","24","1999-06-26","Gilbert Plains","MB","CAN","CAN","70","183","2018","MIN","3","30","92"
"956","Connor Mackey","CGY","D","27","1996-09-12","Tower Lakes","IL","USA","USA","74","197","-","-","-","-","-"
"516","Connor McDavid","EDM","C","27","1997-01-13","Richmond Hill","ON","CAN","CAN","73","193","2015","EDM","1","1","1"
"926","Connor McMichael","WSH","C","23","2001-01-15","Ajax","ON","CAN","CAN","72","180","2019","WSH","1","25","25"
"274","Connor Murphy","CHI","D","30","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"585","Conor Garland","VAN","R","28","1996-03-11","Scituate","MA","USA","USA","70","165","2015","ARI","5","2","123"
"431","Conor Sheary","WSH","L","31","1992-06-08","Winchester","MA","USA","USA","69","179","-","-","-","-","-"
"726","Conor Timmins","ARI","D","25","1998-09-18","St. Catharines","ON","CAN","CAN","74","202","2017","COL","2","1","32"
